property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,bptp terra,sector 37d,1.77,8079.0,4.0,3.0,3,15.0,Relatively New,2025.0,1.0,1.0,0.0,1.0,1.0,0.0,49.0,547.75
flat,pioneer araya,sector 62,10.75,19499.0,5.0,7.0,3,10.0,Relatively New,4990.0,0.0,1.0,0.0,0.0,0.0,1.0,153.0,1102.6
flat,tulip violet,sector 69,2.0,9950.0,4.0,4.0,2,0.0,Relatively New,1819.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,502.5
house,independent,sector 26,23.0,25556.0,4.0,4.0,3+,2.0,Relatively New,9000.0,1.0,1.0,1.0,1.0,0.0,1.0,145.0,2250.0
house,4s aradhya homes,sector 67a,1.83,6778.0,4.0,4.0,2,4.0,New Property,2700.0,0.0,0.0,0.0,1.0,0.0,1.0,145.0,675.0
flat,m3m merlin,sector 67,3.39,14377.0,3.0,4.0,3,14.0,Relatively New,2100.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,786.0
flat,tulip violet,sector 69,1.92,15360.0,4.0,4.0,2,0.0,Relatively New,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,312.5
flat,la vida by tata housing,sector 113,1.65,10450.0,3.0,2.0,2,3.0,Relatively New,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,526.3333333333334
flat,signature global solera,sector 107,0.27,5521.0,2.0,2.0,2,0.0,Relatively New,543.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,244.5
flat,paras quartier,gwal pahari,5.9,11028.0,4.0,4.0,3+,0.0,Moderately Old,5350.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,1337.5
house,ansals palam vihar,sector 2,5.0,12500.0,6.0,4.0,0,3.0,Moderately Old,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.6666666666666
flat,godrej air,sector 85,2.5,1379.0,4.0,5.0,3+,16.0,Under Construction,20136.0,1.0,0.0,0.0,1.0,1.0,1.0,44.0,4532.25
flat,eldeco accolade,sohna road,1.35,6136.0,3.0,3.0,3,2.0,New Property,2444.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,733.3333333333334
flat,dlf the ultima,sector 81,2.3,14603.0,3.0,4.0,3+,27.0,Relatively New,1825.0,0.0,1.0,0.0,0.0,0.0,1.0,119.0,525.0
flat,bestech park view residency,sector 2,1.59,8281.0,3.0,4.0,3+,11.0,Moderately Old,1738.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,640.0
flat,samadhan shri kamal cghs,sector 1,2.01,11427.0,4.0,4.0,3+,10.0,Moderately Old,1956.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,439.75
flat,bestech park view sanskruti,sector 92,1.55,9688.0,3.0,3.0,3,17.0,Relatively New,1792.0,0.0,1.0,0.0,0.0,0.0,1.0,60.0,533.3333333333334
flat,ss the leaf,sector 85,1.04,8320.0,2.0,2.0,3,17.0,New Property,1550.0,0.0,0.0,0.0,0.0,1.0,0.0,145.0,625.0
house,not applicable,sector 4,0.75,11719.0,2.0,4.0,3,2.0,Moderately Old,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0
flat,raheja vedaanta,sector 108,0.85,4637.0,3.0,3.0,2,2.0,Relatively New,1500.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,611.0
flat,dlf the ultima,sector 81,2.5,11726.0,3.0,3.0,2,20.0,Relatively New,1700.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,710.6666666666666
flat,tulip lemon,sector 69,0.6,11407.0,2.0,1.0,1,11.0,Relatively New,584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0
flat,sare green parc 2,sector 92,1.07,5245.0,4.0,3.0,3,10.0,Under Construction,2040.0,1.0,1.0,0.0,0.0,0.0,0.0,86.0,510.0
house,independent,sector 7,2.25,16892.0,5.0,3.0,0,2.0,Old Property,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.4
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3.0,3.0,3,0.0,Relatively New,1493.0,1.0,1.0,0.0,0.0,0.0,1.0,159.0,550.0
flat,pioneer park,sector 61,2.1,11667.0,3.0,3.0,3,15.0,Relatively New,1592.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,600.0
house,eros rosewood city,sector 49,4.05,20769.0,3.0,3.0,3,2.0,Moderately Old,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,650.0
flat,tulip violet,sector 69,1.52,9632.0,3.0,3.0,2,4.0,Relatively New,1428.0,0.0,0.0,0.0,1.0,0.0,1.0,156.0,526.0
house,godrej meridien,sector 106,5.6,14000.0,5.0,4.0,3+,33.0,New Property,4000.0,1.0,1.0,1.0,1.0,0.0,0.0,151.0,800.0
flat,raisina residency,sector 59,5.0,13058.0,4.0,4.0,3+,13.0,Relatively New,4254.0,1.0,1.0,1.0,1.0,0.0,1.0,174.0,957.25
flat,ireo victory valley,sector 67,3.65,13529.0,3.0,4.0,3+,18.0,Relatively New,2490.0,0.0,1.0,0.0,1.0,0.0,1.0,61.0,899.3333333333334
flat,bestech park view grand spa,sector 81,2.25,8459.0,3.0,4.0,3+,8.0,Relatively New,2300.0,1.0,1.0,1.0,0.0,0.0,1.0,122.0,886.6666666666666
flat,sobha smriti apartments,sector 56,0.5,8333.0,1.0,1.0,2,3.0,Old Property,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
house,project mianwali colony,sector 12,2.0,14815.0,5.0,5.0,2,3.0,Old Property,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0
flat,the close north,sector 50,2.7,9982.0,3.0,3.0,3+,3.0,Moderately Old,2357.0,0.0,1.0,0.0,0.0,0.0,0.0,117.0,901.6666666666666
flat,birla navya,sector 63a,3.23,26872.0,3.0,3.0,3,4.0,New Property,1202.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,400.6666666666667
flat,nul,gwal pahari,0.56,6054.0,2.0,2.0,1,11.0,Old Property,1028.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,462.5
flat,"new colony, gurgaon",sector 7,0.8,8097.0,3.0,2.0,1,4.0,Relatively New,1100.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,329.3333333333333
flat,ats triumph,sector 104,2.65,8413.0,4.0,4.0,3+,10.0,Relatively New,2851.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,787.5
flat,emaar mgf emerald floors premier,sector 65,2.55,15455.0,3.0,3.0,3,3.0,Relatively New,1650.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,550.0
flat,ramprastha city,dwarka expressway,1.3,9286.0,3.0,3.0,2,3.0,Under Construction,1267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.6666666666667
flat,ss the leaf,sector 85,1.05,6402.0,2.0,2.0,3,11.0,Relatively New,1484.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,820.0
flat,godrej aria,sector 79,1.95,8519.0,3.0,4.0,3+,10.0,New Property,1659.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,763.0
flat,bestech altura,sector 79,2.55,9533.0,4.0,5.0,2,4.0,New Property,2675.0,0.0,1.0,0.0,0.0,0.0,0.0,44.0,668.75
house,house number b-34,sector 5,0.8,8889.0,2.0,2.0,1,1.0,Old Property,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
house,independent,sector 53,4.65,17574.0,5.0,5.0,3+,1.0,Moderately Old,2646.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,529.2
flat,vatika gurgaon,sector 83,1.1,6162.0,3.0,3.0,3+,5.0,Relatively New,1600.0,0.0,0.0,0.0,0.0,0.0,1.0,96.0,595.0
house,anshul,sector 6,0.85,7727.0,2.0,2.0,0,4.0,Moderately Old,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0
flat,umang monsoon breeze,sector 78,0.88,4746.0,3.0,4.0,3,8.0,Moderately Old,1668.0,0.0,1.0,0.0,1.0,0.0,0.0,111.0,618.0
flat,ansal plaza,sector 2,1.0,10000.0,2.0,3.0,No,1.0,Moderately Old,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
house,independent,sector 11,1.2,4444.0,7.0,3.0,0,3.0,Moderately Old,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.7142857142857
flat,paras dews,sector 106,1.13,6406.0,3.0,4.0,3+,18.0,Relatively New,1186.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,588.0
flat,ashiana anmol,sohna road,0.9,7059.0,2.0,2.0,2,8.0,Relatively New,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.5
house,ansals florence villa,sector 57,3.3,19820.0,4.0,3.0,3+,2.0,Moderately Old,1665.0,1.0,1.0,1.0,1.0,0.0,0.0,151.0,416.25
flat,dlf new town heights,sector 90,1.25,6504.0,3.0,3.0,3+,5.0,Relatively New,1929.0,0.0,1.0,0.0,1.0,0.0,0.0,127.0,640.6666666666666
flat,indiabulls enigma,sector 110,3.4,10000.0,4.0,5.0,3,10.0,Relatively New,3000.0,0.0,1.0,0.0,0.0,0.0,0.0,152.0,850.0
flat,godrej summit,sector 104,1.05,5833.0,3.0,4.0,3+,7.0,Relatively New,2000.0,0.0,1.0,0.0,0.0,0.0,1.0,96.0,600.0
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3.0,3.0,3,2.0,Relatively New,1524.0,1.0,1.0,0.0,0.0,0.0,1.0,136.0,550.0
flat,ats kocoon,sector 109,2.15,10263.0,3.0,4.0,3,9.0,Relatively New,1896.0,0.0,1.0,0.0,0.0,0.0,0.0,97.0,698.3333333333334
flat,the lions cghs,sector 56,2.09,8708.0,4.0,4.0,3+,7.0,Relatively New,2300.0,0.0,0.0,0.0,0.0,1.0,1.0,125.0,600.0
flat,sare petioles,sector 92,1.3,6373.0,4.0,4.0,No,7.0,Relatively New,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0
house,independent,sector 13,4.5,9091.0,4.0,5.0,2,2.0,Old Property,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1237.5
flat,m3m heights,sector 65,3.0,17996.0,3.0,3.0,3,20.0,Under Construction,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,555.6666666666666
house,independent,sector 2,1.15,19360.0,3.0,3.0,2,2.0,Old Property,594.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,198.0
flat,puri diplomatic greens,sector 111,2.58,11727.0,3.0,4.0,2,9.0,Relatively New,2200.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,733.3333333333334
flat,conscient heritage max,sector 102,2.1,9772.0,3.0,4.0,3+,10.0,Relatively New,1945.0,1.0,1.0,0.0,0.0,0.0,0.0,53.0,716.3333333333334
flat,bestech park view sanskruti,sector 92,1.68,11053.0,3.0,4.0,3+,15.0,Relatively New,1804.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,506.6666666666667
flat,tata gurgaon gateway,sector 113,6.0,9139.0,5.0,6.0,3+,24.0,Moderately Old,7294.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,1313.0
flat,ireo the corridors,sector 67a,1.6,9265.0,3.0,3.0,2,3.0,New Property,1346.0,0.0,0.0,1.0,0.0,0.0,1.0,142.0,575.6666666666666
flat,shree vardhman victoria,sector 70,1.63,8359.0,3.0,3.0,3,5.0,New Property,1527.0,0.0,1.0,0.0,0.0,1.0,0.0,49.0,650.0
house,suncity township,sector 54,25.0,31110.0,4.0,4.0,3+,2.0,Moderately Old,8036.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2009.0
flat,sare homes,sector 92,1.1,5348.0,4.0,4.0,3,4.0,Relatively New,2286.0,0.0,1.0,0.0,0.0,0.0,0.0,108.0,514.25
flat,bptp astaire gardens,sector 70a,1.6,8658.0,4.0,4.0,3,1.0,Relatively New,1600.0,1.0,0.0,0.0,0.0,1.0,0.0,42.0,462.0
flat,ramprastha the edge towers,sector 37d,0.75,5319.0,2.0,2.0,3,19.0,Moderately Old,1410.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,705.0
house,independent,sector 7,0.45,5000.0,3.0,2.0,1,2.0,Old Property,900.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,300.0
house,dlf city plots phase 2,sector 25,6.5,36111.0,5.0,5.0,3+,3.0,Old Property,1800.0,1.0,1.0,1.0,1.0,0.0,1.0,134.0,360.0
flat,sukhshanti apartment,sector 56,1.7,7727.0,3.0,3.0,3,4.0,Moderately Old,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,733.3333333333334
flat,signature global park,sohna road,0.65,7295.0,2.0,2.0,3,1.0,New Property,822.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,445.5
flat,smart world orchard,sector 61,2.0,12912.0,3.0,3.0,2,3.0,New Property,1721.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,516.3333333333334
house,emaar mgf marbella,sector 66,9.01,16066.0,4.0,4.0,3+,3.0,Relatively New,5574.7,0.0,1.0,1.0,0.0,0.0,0.0,122.0,1402.0
flat,maruti kunj,sector 11,0.8,5161.0,3.0,2.0,No,0.0,Old Property,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,516.6666666666666
flat,conscient habitat,sector 110,0.35,6422.0,2.0,2.0,1,3.0,Relatively New,606.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,272.5
flat,dlf regency park,sector 28,1.91,16609.0,2.0,2.0,2,11.0,New Property,1278.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,575.0
flat,signature global city 92,sector 92,0.78,8050.0,2.0,2.0,2,2.0,New Property,1083.0,0.0,0.0,0.0,0.0,0.0,1.0,47.0,484.5
house,independent,sector 12,1.4,8701.0,2.0,2.0,1,2.0,Old Property,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.5
flat,pareena mi casa,sector 68,1.1,8835.0,2.0,2.0,3,11.0,New Property,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,622.5
flat,chd avenue,sector 71,1.15,6527.0,3.0,3.0,2,15.0,Moderately Old,1541.0,0.0,1.0,0.0,0.0,0.0,1.0,66.0,587.3333333333334
flat,essel towers,sector 14,2.2,12500.0,3.0,4.0,3+,3.0,Old Property,1956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.6666666666666
flat,godrej,sector 79,2.0,8475.0,3.0,4.0,3+,9.0,Relatively New,1963.0,0.0,1.0,0.0,0.0,0.0,0.0,108.0,786.6666666666666
flat,indiabulls centrum park,sector 103,2.36,9183.0,4.0,6.0,3+,8.0,Relatively New,2729.0,0.0,1.0,0.0,0.0,0.0,1.0,159.0,642.5
flat,signature global the millennia 3,sector 37d,0.5,7143.0,3.0,3.0,2,2.0,Under Construction,778.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,233.33333333333331
house,project mianwali colony,sector 12,1.7,9444.0,1.0,1.0,2,1.0,Old Property,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
flat,shree vardhman flora,sector 90,0.96,5120.0,3.0,4.0,3,3.0,New Property,1697.0,0.0,1.0,0.0,0.0,0.0,0.0,106.0,625.0
house,unitech espace,sector 50,7.42,34352.0,4.0,4.0,3,2.0,Old Property,3200.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,540.0
house,independent,sector 36,0.75,6938.0,3.0,1.0,0,1.0,New Property,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.3333333333333
flat,umang winter hills,sector 77,1.35,7781.0,3.0,3.0,3+,7.0,New Property,1451.0,0.0,0.0,1.0,0.0,0.0,1.0,96.0,578.3333333333334
flat,chd avenue,sector 71,1.16,6655.0,3.0,3.0,3,5.0,Moderately Old,1577.0,0.0,1.0,0.0,0.0,0.0,1.0,73.0,581.0
flat,emaar mgf the palm drive,sector 66,3.4,15455.0,3.0,4.0,3,9.0,Relatively New,2200.0,0.0,1.0,1.0,0.0,0.0,1.0,96.0,733.3333333333334
flat,birla navya,sector 63a,3.7,15417.0,3.0,3.0,3+,1.0,Under Construction,2667.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,800.0
house,vatika signature villas,sector 82,4.7,21759.0,3.0,3.0,3+,3.0,New Property,2160.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,720.0
flat,beverley park 1,sector 43,8.44,16231.0,4.0,5.0,3,9.0,Moderately Old,5000.0,0.0,1.0,0.0,0.0,0.0,2.0,117.0,1300.0
house,independent,sector 7,8.0,22222.0,4.0,5.0,3+,1.0,Old Property,3600.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,900.0
house,independent,sector 24,2.6,24074.0,4.0,4.0,3+,4.0,Relatively New,1080.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,270.0
flat,ss the leaf,sector 85,1.83,7609.0,3.0,4.0,3,9.0,Relatively New,1925.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,801.6666666666666
house,independent,sector 26,5.8,12838.0,4.0,4.0,3+,4.0,Old Property,4518.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1129.5
flat,godrej summit,sector 104,0.85,5878.0,2.0,2.0,3+,10.0,Relatively New,1269.0,1.0,0.0,0.0,0.0,0.0,0.0,79.0,723.0
flat,ss the leaf,sector 85,1.58,7715.0,3.0,4.0,3,8.0,Relatively New,2227.0,0.0,1.0,0.0,0.0,0.0,0.0,159.0,682.6666666666666
flat,tulip violet,sector 69,3.1,9823.0,4.0,6.0,3+,14.0,Relatively New,2817.0,0.0,1.0,0.0,1.0,0.0,0.0,174.0,789.0
flat,sare crescent parc royal greens phase 1,sector 92,1.0,3713.0,4.0,4.0,3,15.0,New Property,1828.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,673.25
flat,signature andour heights,sector 71,0.6,10000.0,2.0,2.0,1,5.0,Relatively New,557.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,300.0
flat,hsiidc sidco shivalik apartments,manesar,0.85,5102.0,3.0,2.0,2,5.0,Moderately Old,1508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.3333333333334
flat,sare homes,sector 92,0.68,5239.0,3.0,3.0,2,11.0,Relatively New,1442.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,432.6666666666667
flat,park view apartments,sector 15,1.6,11034.0,3.0,3.0,3+,2.0,Moderately Old,1611.0,0.0,0.0,0.0,1.0,0.0,0.0,56.0,483.3333333333333
flat,orchid island,sector 51,1.7,10652.0,3.0,4.0,3,2.0,Moderately Old,1773.0,0.0,0.0,1.0,1.0,0.0,0.0,90.0,532.0
flat,ireo the grand arch,sector 58,3.83,21577.0,3.0,4.0,2,10.0,Relatively New,2000.0,1.0,1.0,0.0,0.0,0.0,1.0,174.0,591.6666666666666
flat,signature global park,sohna road,0.9,6254.0,3.0,3.0,3,3.0,Relatively New,1599.0,0.0,0.0,0.0,1.0,0.0,0.0,96.0,479.6666666666667
flat,dlf the ultima,sector 81,2.7,12802.0,3.0,3.0,3,15.0,Relatively New,2343.0,0.0,1.0,0.0,0.0,0.0,1.0,49.0,703.0
flat,dlf regal gardens,sector 90,1.2,6838.0,3.0,3.0,3+,15.0,Relatively New,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,585.0
flat,laxmi pareena,sector 99a,0.3,6667.0,2.0,1.0,No,12.0,New Property,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0
flat,dlf the skycourt,sector 86,1.5,7776.0,3.0,3.0,1,15.0,Relatively New,1550.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,643.0
flat,emaar mgf the palm drive,sector 66,3.5,16471.0,3.0,4.0,3,6.0,Relatively New,2150.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,708.3333333333334
flat,landmark the residency,sector 103,0.9,6667.0,2.0,2.0,2,1.0,Relatively New,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,675.0
flat,tulip violet,sector 69,1.32,8413.0,3.0,3.0,1,12.0,Relatively New,1419.0,0.0,0.0,0.0,1.0,0.0,0.0,86.0,523.0
flat,signature global city 63a,sector 63a,1.4,11336.0,2.0,2.0,2,3.0,Under Construction,1372.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,617.5
house,dlf city plot phase 4,sector 28,13.0,1992.0,10.0,10.0,3+,1.0,Relatively New,8056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6526.1
house,international city by sobha phase 2,sector 109,6.25,10035.0,5.0,7.0,3+,3.0,Relatively New,6228.0,1.0,1.0,1.0,1.0,0.0,0.0,147.0,1245.6
flat,bestech park view grand spa,sector 81,2.4,9023.0,3.0,4.0,3+,8.0,New Property,2407.0,1.0,1.0,0.0,0.0,0.0,1.0,167.0,886.6666666666666
flat,dlf regal gardens,sector 90,1.26,7403.0,3.0,3.0,3,6.0,Relatively New,1603.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,567.3333333333334
house,shri shyam residency,sector 104,0.62,12400.0,3.0,3.0,1,2.0,Moderately Old,900.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,166.66666666666666
flat,dlf regal gardens,sector 90,1.29,9021.0,3.0,3.0,3,7.0,Relatively New,1540.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,476.6666666666667
flat,tata primanti,sector 72,5.25,15648.0,4.0,4.0,3+,30.0,New Property,3000.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,838.75
flat,aardhya homesh,sector 67a,1.85,8043.0,4.0,4.0,No,4.0,New Property,2556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0
house,independent,sector 14,4.5,20000.0,5.0,5.0,1,1.0,Relatively New,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
flat,pyramid urban,sector 67a,0.7,11844.0,2.0,2.0,1,14.0,New Property,657.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,295.5
flat,unitech fresco,sector 50,1.8,9590.0,3.0,4.0,3+,6.0,Moderately Old,1870.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,625.6666666666666
flat,dlf new town heights,sector 90,1.55,6557.0,4.0,4.0,3+,1.0,Relatively New,2139.0,0.0,1.0,0.0,1.0,0.0,0.0,81.0,591.0
flat,signature global park,sohna road,0.54,7248.0,2.0,1.0,3,1.0,New Property,828.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,372.5
house,arjun marg/ sector- 26 phase- 1/ golf course road,sector 26,31.5,35000.0,7.0,9.0,3+,3.0,Moderately Old,9000.0,1.0,1.0,1.0,1.0,0.0,2.0,74.0,1285.7142857142858
flat,m3m skywalk,sector 74,1.5,12500.0,2.0,2.0,3,17.0,Relatively New,1300.0,0.0,0.0,1.0,0.0,0.0,0.0,174.0,600.0
flat,ss the leaf,sector 85,1.93,8075.0,3.0,4.0,3,7.0,Relatively New,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,174.0,796.6666666666666
flat,tulip violet,sector 69,1.75,8883.0,4.0,4.0,1,12.0,Relatively New,1783.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,492.5
house,independent,sector 17a,1.52,19869.0,2.0,2.0,1,1.0,Old Property,105.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,382.5
flat,emaar imperial gardens,sector 102,2.05,9875.0,3.0,4.0,3+,14.0,Relatively New,2250.0,0.0,1.0,0.0,0.0,0.0,0.0,116.0,692.0
flat,sare crescent parc,sector 92,0.66,4977.0,3.0,2.0,2,15.0,Relatively New,1473.0,0.0,0.0,0.0,0.0,0.0,2.0,44.0,442.0
flat,orris carnation residency,sector 85,0.88,5954.0,3.0,3.0,1,1.0,Relatively New,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,492.6666666666667
flat,511 sarahah tower,sector 12,0.6,8333.0,2.0,2.0,1,0.0,New Property,800.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,360.0
flat,proxima tower,sector 37c,0.6,4601.0,2.0,2.0,3,5.0,Under Construction,1180.0,1.0,0.0,0.0,1.0,0.0,0.0,55.0,652.0
flat,ramsons kshitij,sector 95,0.33,3910.0,2.0,2.0,1,14.0,New Property,694.0,0.0,0.0,0.0,0.0,1.0,1.0,79.0,422.0
flat,conscient heritage max,sector 102,2.15,9307.0,3.0,4.0,3,13.0,Relatively New,1945.0,1.0,1.0,0.0,0.0,0.0,0.0,101.0,770.0
flat,bestech park view ananda,sector 81,0.88,8044.0,2.0,2.0,3,8.0,Relatively New,1223.0,1.0,0.0,0.0,0.0,0.0,1.0,95.0,547.0
flat,shree vardhman victoria,sector 70,1.15,8519.0,2.0,2.0,2,6.0,Relatively New,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,675.0
flat,smart world orchard,sector 61,1.58,13739.0,2.0,2.0,2,3.0,New Property,1278.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,575.0
house,independent,sector 55,3.55,24500.0,4.0,4.0,3+,2.0,Old Property,1449.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,362.25
flat,m3m merlin,sector 67,3.32,14080.0,3.0,4.0,3,8.0,New Property,2016.0,0.0,1.0,0.0,0.0,0.0,1.0,174.0,786.0
house,independent,sohna road road,0.49,4261.0,2.0,2.0,1,3.0,New Property,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0
flat,apex our homes,sector 37c,0.35,3784.0,2.0,2.0,1,7.0,Relatively New,850.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,462.5
flat,m3m woodshire,sector 107,1.21,6227.0,3.0,3.0,3,7.0,Moderately Old,1713.0,0.0,0.0,0.0,0.0,0.0,1.0,126.0,647.6666666666666
house,independent,sector 4,0.55,6815.0,2.0,1.0,1,1.0,Moderately Old,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,403.5
flat,vatika independent floors,sector 82,1.16,6988.0,3.0,3.0,3+,1.0,Relatively New,1844.0,0.0,1.0,1.0,1.0,0.0,1.0,151.0,553.3333333333334
flat,the close north,sector 50,2.75,12500.0,3.0,3.0,3,3.0,Moderately Old,2400.0,0.0,1.0,0.0,0.0,0.0,0.0,110.0,733.3333333333334
house,aindependentt raj estates,sector 63a,8.5,27139.0,6.0,6.0,3+,3.0,Under Construction,3132.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,522.0
house,vipul tatvam villa,sector 48,7.69,24069.0,4.0,5.0,3,2.0,Moderately Old,3195.0,1.0,1.0,1.0,1.0,0.0,1.0,110.0,798.75
flat,indiabulls enigma,sector 110,3.79,9896.0,5.0,5.0,3,4.0,Relatively New,3466.0,0.0,1.0,0.0,0.0,1.0,0.0,125.0,766.0
flat,imperia the esfera,sector 37c,1.1,5405.0,3.0,4.0,3,9.0,Relatively New,1899.0,1.0,1.0,0.0,0.0,0.0,0.0,49.0,678.3333333333334
flat,ireo the corridors,sector 67a,2.0,11429.0,3.0,3.0,3,12.0,New Property,1584.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,583.3333333333334
flat,indiabulls enigma,sector 110,3.3,9851.0,4.0,5.0,3,7.0,Relatively New,3032.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,837.5
flat,dlf the primus,sector 82a,2.95,11452.0,4.0,5.0,3+,10.0,Relatively New,2110.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,644.0
flat,the center court,sector 88a,2.1,12174.0,4.0,4.0,3,0.0,New Property,1745.0,1.0,1.0,0.0,0.0,0.0,0.0,142.0,431.25
