property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,independent,sector 8,0.32,7111.0,2.0,3.0,1,1.0,Relatively New,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0
house,vipul tatvam villa,sector 48,8.5,26235.0,4.0,4.0,2,2.0,Moderately Old,3240.0,0.0,1.0,1.0,1.0,0.0,0.0,88.0,810.0
flat,emaar mgf emerald floors premier,sector 65,2.4,14545.0,3.0,3.0,3,3.0,Relatively New,1600.0,1.0,1.0,0.0,0.0,0.0,1.0,49.0,550.0
flat,gls arawali homes,sohna road,0.28,4938.0,2.0,2.0,2,3.0,Relatively New,500.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,283.5
flat,tata primanti,sector 72,5.0,11364.0,4.0,4.0,3+,2.0,New Property,4000.0,1.0,1.0,1.0,0.0,0.0,1.0,174.0,1100.0
house,independent,manesar,2.0,14959.0,3.0,1.0,0,3.0,Moderately Old,1337.4,0.0,0.0,0.0,0.0,0.0,0.0,16.0,445.6666666666667
flat,dlf the ultima,sector 81,2.34,11185.0,3.0,4.0,3+,14.0,Relatively New,1760.0,0.0,1.0,0.0,0.0,0.0,2.0,174.0,697.3333333333334
flat,experion windchants,sector 112,5.6,11530.0,4.0,6.0,3+,15.0,Moderately Old,3662.34,0.0,1.0,0.0,0.0,0.0,1.0,157.0,1214.25
flat,sobha city,sector 108,3.75,14940.0,3.0,3.0,2,16.0,New Property,2120.0,0.0,1.0,0.0,0.0,0.0,0.0,77.0,836.6666666666666
house,independent,sector 43,15.5,149758.0,2.0,6.0,3,3.0,Moderately Old,5490.0,1.0,1.0,1.0,1.0,0.0,0.0,76.0,517.5
house,independent,sector 7,1.95,13542.0,2.0,2.0,2,2.0,Old Property,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0
house,independent,sector 37d,1.16,7537.0,1.0,1.0,0,1.0,Relatively New,1535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.0
flat,tulip violet,sector 69,1.4,8929.0,3.0,3.0,1,12.0,Relatively New,1376.0,0.0,0.0,0.0,1.0,0.0,0.0,174.0,522.6666666666666
flat,pareena coban residences,sector 99a,1.23,6159.0,3.0,5.0,3,5.0,Relatively New,1807.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0,665.6666666666666
flat,tulip violet,sector 69,1.7,8458.0,4.0,4.0,2,10.0,Relatively New,1804.0,1.0,1.0,1.0,1.0,0.0,0.0,174.0,502.5
house,nirvana cedar crest,sector 50,3.99,8867.0,4.0,5.0,3+,4.0,New Property,4500.0,0.0,1.0,0.0,1.0,0.0,1.0,112.0,1125.0
flat,dlf regal gardens,sector 90,1.25,10417.0,3.0,3.0,3,18.0,Moderately Old,1437.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,400.0
flat,emaar mgf emerald floors premier,sector 65,2.79,14127.0,4.0,4.0,3+,2.0,Relatively New,2194.0,1.0,1.0,0.0,0.0,0.0,2.0,174.0,493.75
house,independent,sector 4,0.92,15257.0,1.0,4.0,3,4.0,Moderately Old,603.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,603.0
flat,experion windchants,sector 112,2.6,10651.0,2.0,2.0,3,8.0,Relatively New,2441.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,1220.5
house,independent,sector 7,0.27,12000.0,2.0,2.0,1,2.0,Moderately Old,225.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,112.5
flat,dlf new town heights,sector 91,1.65,6346.0,4.0,4.0,3+,11.0,Moderately Old,2139.0,0.0,1.0,0.0,0.0,0.0,0.0,72.0,650.0
flat,sbtl caladium,sector 109,1.68,6601.0,3.0,3.0,3+,7.0,Moderately Old,2303.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,848.3333333333334
flat,indiabulls centrum park,sector 103,2.14,7443.0,4.0,6.0,3+,7.0,Relatively New,2718.0,0.0,1.0,0.0,0.0,0.0,0.0,142.0,718.75
house,not applicable,sector 11,2.2,12222.0,4.0,3.0,2,1.0,Old Property,1800.0,1.0,0.0,0.0,1.0,0.0,0.0,24.0,450.0
house,ardee city,sector 52,2.25,16071.0,3.0,3.0,3,4.0,New Property,1800.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,466.6666666666667
house,independent,sohna road road,6.25,6944.0,3.0,3.0,0,1.0,Moderately Old,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.333333333333
flat,sare homes,sector 92,0.8,4695.0,4.0,4.0,3,1.0,Moderately Old,1893.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,426.0
flat,central park flower valley,sohna road,1.2,6742.0,3.0,3.0,No,11.0,Relatively New,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,593.3333333333334
house,independent,sector 7,2.0,11111.0,2.0,2.0,1,2.0,Relatively New,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
flat,mapsko casa bella,sector 82,0.86,8121.0,3.0,3.0,3,5.0,Moderately Old,1234.0,1.0,0.0,0.0,0.0,0.0,1.0,120.0,353.0
house,unitech espace,sector 50,11.5,35494.0,5.0,6.0,0,1.0,Moderately Old,3240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.0
flat,m3m soulitude,sector 89,1.0,9066.0,2.0,2.0,2,2.0,New Property,1226.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,551.5
flat,dlf 76,new,4.0,11429.0,4.0,4.0,2,4.0,Under Construction,3889.0,1.0,1.0,0.0,0.0,0.0,1.0,101.0,875.0
flat,dlf regal gardens,sector 90,1.65,7449.0,4.0,4.0,3+,15.0,Relatively New,2214.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,553.75
flat,signature global solera,sector 107,0.28,5680.0,2.0,2.0,2,11.0,Relatively New,543.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,246.5
