property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0.0,13.0,3.0,3.0,4.0,0.0,2303.0,1.0,0.0,0.0,2.0,2.0,1.68
0.0,7.0,4.0,6.0,4.0,3.0,2718.0,1.0,0.0,0.0,2.0,2.0,2.14
1.0,15.0,4.0,3.0,2.0,2.0,1800.0,0.0,0.0,0.0,1.0,1.0,2.2
1.0,61.0,3.0,3.0,3.0,1.0,1800.0,1.0,0.0,1.0,1.0,2.0,2.25
1.0,114.0,3.0,3.0,0.0,0.0,9000.0,0.0,0.0,0.0,1.0,1.0,6.25
0.0,107.0,4.0,4.0,3.0,0.0,1893.0,0.0,0.0,0.0,2.0,1.0,0.8
0.0,113.0,3.0,3.0,5.0,3.0,1780.0,0.0,0.0,0.0,2.0,0.0,1.2
1.0,81.0,2.0,2.0,1.0,3.0,1800.0,0.0,0.0,0.0,1.0,1.0,2.0
0.0,95.0,3.0,3.0,3.0,0.0,1234.0,0.0,0.0,1.0,2.0,2.0,0.86
1.0,59.0,5.0,6.0,0.0,0.0,3240.0,0.0,0.0,0.0,1.0,1.0,11.5
0.0,103.0,2.0,2.0,2.0,1.0,1226.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,3.0,4.0,4.0,2.0,4.0,3889.0,1.0,0.0,1.0,2.0,2.0,4.0
0.0,105.0,4.0,4.0,4.0,3.0,2214.0,0.0,0.0,0.0,0.0,0.0,1.65
0.0,11.0,2.0,2.0,2.0,3.0,543.0,0.0,0.0,0.0,1.0,0.0,0.28
0.0,8.0,4.0,4.0,4.0,3.0,2851.0,1.0,0.0,0.0,2.0,0.0,2.6
0.0,6.0,3.0,4.0,4.0,0.0,1945.0,1.0,0.0,0.0,2.0,2.0,2.2
0.0,36.0,2.0,2.0,3.0,4.0,1307.0,0.0,0.0,0.0,2.0,1.0,1.2
1.0,104.0,2.0,3.0,0.0,2.0,900.0,0.0,0.0,0.0,1.0,2.0,1.65
0.0,113.0,2.0,2.0,1.0,3.0,743.0,0.0,0.0,0.0,1.0,2.0,0.29
1.0,9.0,3.0,2.0,1.0,3.0,720.0,0.0,0.0,0.0,1.0,1.0,0.65
0.0,6.0,3.0,3.0,4.0,3.0,2222.0,1.0,0.0,1.0,2.0,2.0,1.98
0.0,12.0,4.0,5.0,3.0,3.0,2343.0,0.0,0.0,0.0,2.0,0.0,3.95
0.0,72.0,4.0,6.0,3.0,3.0,3867.0,1.0,0.0,1.0,0.0,2.0,9.2
0.0,68.0,3.0,1.0,5.0,4.0,2295.0,0.0,0.0,0.0,1.0,1.0,3.9
1.0,55.0,1.0,4.0,3.0,3.0,576.0,0.0,0.0,0.0,1.0,2.0,0.99
0.0,72.0,2.0,2.0,3.0,4.0,1676.0,0.0,0.0,0.0,2.0,0.0,2.15
0.0,77.0,3.0,3.0,3.0,3.0,2724.0,1.0,0.0,0.0,2.0,0.0,3.49
1.0,15.0,2.0,6.0,4.0,3.0,1215.0,0.0,0.0,0.0,1.0,2.0,2.1
0.0,8.0,2.0,2.0,1.0,3.0,515.0,0.0,0.0,0.0,1.0,0.0,0.4
0.0,46.0,4.0,3.0,3.0,3.0,2025.0,1.0,0.0,0.0,1.0,0.0,1.8
0.0,79.0,2.0,2.0,3.0,3.0,1130.0,0.0,0.0,1.0,2.0,1.0,1.08
0.0,11.0,2.0,2.0,4.0,0.0,1236.0,0.0,0.0,0.0,2.0,1.0,0.94
0.0,110.0,3.0,4.0,5.0,1.0,2400.0,0.0,0.0,0.0,2.0,0.0,1.6
0.0,61.0,5.0,5.0,4.0,0.0,5200.0,0.0,0.0,0.0,1.0,1.0,5.0
0.0,41.0,3.0,2.0,4.0,4.0,1484.0,0.0,0.0,0.0,1.0,2.0,1.35
0.0,2.0,3.0,2.0,2.0,0.0,1502.0,0.0,0.0,0.0,1.0,2.0,0.75
1.0,49.0,1.0,1.0,0.0,0.0,450.0,0.0,0.0,0.0,1.0,1.0,0.4
0.0,49.0,2.0,2.0,1.0,3.0,722.0,0.0,0.0,0.0,1.0,1.0,0.43
0.0,63.0,3.0,3.0,3.0,0.0,1382.0,0.0,0.0,0.0,1.0,1.0,5.7
1.0,8.0,4.0,3.0,1.0,0.0,1170.0,0.0,0.0,0.0,1.0,1.0,0.6
0.0,46.0,2.0,3.0,2.0,4.0,656.0,0.0,0.0,0.0,1.0,2.0,0.45
0.0,13.0,3.0,4.0,4.0,3.0,1797.0,1.0,0.0,0.0,0.0,2.0,1.75
0.0,49.0,1.0,1.0,1.0,3.0,500.0,0.0,0.0,0.0,1.0,1.0,0.21
0.0,12.0,2.0,2.0,3.0,3.0,1167.0,1.0,0.0,0.0,0.0,2.0,0.97
0.0,46.0,2.0,2.0,2.0,4.0,860.0,0.0,0.0,0.0,1.0,1.0,0.8
0.0,113.0,3.0,3.0,4.0,3.0,1509.0,0.0,0.0,0.0,1.0,2.0,1.3
0.0,105.0,2.0,2.0,3.0,3.0,1225.0,0.0,0.0,1.0,1.0,0.0,0.65
1.0,23.0,5.0,5.0,2.0,2.0,4518.0,0.0,0.0,0.0,1.0,1.0,10.0
0.0,107.0,3.0,2.0,2.0,3.0,1325.0,0.0,0.0,0.0,2.0,2.0,0.7
0.0,6.0,3.0,3.0,3.0,3.0,1315.0,0.0,0.0,0.0,1.0,2.0,1.6
0.0,113.0,2.0,2.0,3.0,4.0,1131.0,0.0,0.0,0.0,1.0,2.0,0.95
0.0,7.0,2.0,2.0,2.0,3.0,698.0,0.0,0.0,0.0,1.0,2.0,0.5
0.0,102.0,2.0,2.0,3.0,1.0,1350.0,0.0,0.0,0.0,1.0,2.0,0.92
1.0,32.0,9.0,9.0,4.0,2.0,3600.0,1.0,1.0,0.0,2.0,2.0,10.75
0.0,82.0,4.0,5.0,4.0,0.0,2169.0,1.0,0.0,1.0,0.0,2.0,2.0
0.0,82.0,3.0,4.0,3.0,1.0,1527.0,1.0,0.0,0.0,1.0,1.0,1.8
1.0,56.0,4.0,4.0,3.0,0.0,4000.0,1.0,0.0,0.0,1.0,1.0,7.65
1.0,13.0,4.0,4.0,4.0,3.0,2430.0,1.0,1.0,0.0,0.0,1.0,6.0
1.0,32.0,6.0,8.0,4.0,3.0,2844.0,1.0,1.0,2.0,1.0,1.0,13.0
1.0,58.0,5.0,4.0,2.0,2.0,2367.0,0.0,0.0,0.0,1.0,1.0,3.5
0.0,105.0,4.0,4.0,4.0,3.0,3030.0,1.0,0.0,1.0,2.0,2.0,1.99
0.0,71.0,3.0,4.0,4.0,4.0,1174.0,1.0,0.0,0.0,0.0,0.0,3.9
0.0,113.0,2.0,2.0,1.0,1.0,582.0,0.0,0.0,1.0,1.0,1.0,0.4
0.0,96.0,3.0,2.0,3.0,3.0,1667.0,0.0,0.0,1.0,2.0,1.0,1.25
0.0,99.0,3.0,4.0,2.0,3.0,1616.0,1.0,0.0,0.0,2.0,2.0,1.38
0.0,74.0,2.0,2.0,2.0,4.0,978.0,0.0,0.0,0.0,1.0,1.0,1.65
